site_name,site_no,structure,structure_id,structure_no,structure_sp,dbh,decay,vexar,planter,recorder,photo_no,tag_id,measurement_id,height,height_2,rcd,rcd_2,azimuth,dist,log_ht,status,herbiv,comp_sp,comp_dist,comp_ht,grass,forb,shrub,rock,cwd,litter,bare_soil,moss,root,other,cvr_total,notes
Horton,1,open,3310,10,,,,0,JL,"JL, SK",B1683/B1684,401,401-01,30,,4.5,,,,,,,,,,10,15,,70,5,,,,,,100,"Rocky site, herbivory on forbs"
Horton,1,open,3310,10,,,,0,JL,"JL, SK",B1683/B1684,2294,2294-01,27.5,,5,,,,,,,,,,,20,,,,78,2,,,,100,"Rocky site, herbivory on forbs"
Horton,1,open,3310,10,,,,0,JL,"JL, SK",B1683/B1684,2303,2303-01,17.5,,3.5,,,,,,,,,,20,8,,15,,57,,,,,100,"Rocky site, herbivory on forbs"
Horton,1,open,3309,9,,,,0,IM,"JL, SK",B1682,2163,2163-01,18,,3.5,,,,,,,,,,,4,,15,,71,10,,,,100,
Horton,1,open,3309,9,,,,0,IM,"JL, SK",B1682,2143,2143-01,26,,3.5,,,,,,,,,,,8,,10,,77,5,,,,100,
Horton,1,open,3309,9,,,,0,IM,"JL, SK",B1682,2159,2159-01,14.5,,2,,,,,,,,,,,5,,5,,85,5,,,,100,
Horton,1,open,3309,9,,,,0,IM,"JL, SK",B1682,2396,2396-01,19,,3,,,,,,,,,,,8,,5,,87,,,,,100,
Horton,1,open,3311,11,,,,1,UNK,"JL, SK",B1677,2149,2149-01,38.5,,5,,,,,,,,,,,8,,,10,82,,,,,100,
Horton,1,open,3311,11,,,,1,UNK,"JL, SK",B1677,2158,2158-01,32,,4.5,,,,,,,,,,5,10,,5,8,72,,,,,100,
Horton,1,open,3311,11,,,,1,IM,"JL, SK",B1677,2157,2157-01,23.5,,4.5,,,,,,,,,,25,10,,5,,55,5,,,,100,
Horton,1,open,3311,11,,,,1,IM,"JL, SK",B1677,2166,2166-01,29,,4,,,,,,,,,,10,5,,10,,45,30,,,,100,
Horton,1,open,3312,12,,,,1,IM,"IM, SK",B1714,2222,2222-01,23.5,,3,,,,,,,,,,,8,,10,,77,5,,,,100,
Horton,1,open,3312,12,,,,1,IM,"IM, SK",B1714,2253,2253-01,25,,5,,,,,,,,,,,15,,5,,60,10,10,,,100,
Horton,1,open,3312,12,,,,1,IM,"IM, SK",B1714,2248,2248-01,22,,4.5,,,,,,,,,,,10,,10,,75,5,,,,100,
Horton,1,open,3312,12,,,,1,IM,"IM, SK",B1714,2247,2247-01,19.5,,3,,,,,,,,,,,10,,20,,65,5,,,,100,
Horton,1,open,3313,13,,,,1,UNK,"JL, SK",B1687,2387,2387-01,9.5,,3,,,,,,,,,,,10,,35,4,46,5,,,,100,
Horton,1,open,3313,13,,,,1,UNK,"JL, SK",B1687,2367,2367-01,15,,4,,,,,,,,,,10,30,,10,,50,,,,,100,
Horton,1,open,3313,13,,,,1,UNK,"JL, SK",B1687,2361,2361-01,18,,3.5,,,,,,,ROWO,141,16,,8,,30,,62,,,,,100,
Horton,1,open,3313,13,,,,1,UNK,"JL, SK",B1687,2371,2371-01,21,,3,,,,,,,ROWO,75,16,,15,,15,,65,5,,,,100,
Horton,1,open,3314,14,,,,1,UNK,"JL, SK",B1689,2390,2390-01,19.5,,3.5,,,,,,,,,,15,8,,20,,52,5,,,,100,
Horton,1,open,3314,14,,,,1,UNK,"JL, SK",B1689,2389,2389-01,28.5,,4,,,,,,,,,,,10,,10,,72,8,,,,100,
Horton,1,open,3314,14,,,,1,UNK,"JL, SK",B1689,2388,2388-01,15.5,,3,,,,,,,,,,,25,,10,,65,,,,,100,
Horton,1,open,3314,14,,,,1,UNK,"JL, SK",B1689,2377,2377-01,14.5,,3,,,,,,,,,,5,15,,10,,70,,,,,100,
Horton,1,open,3315,15,,,,1,JL,"JL, SK",B1685,402,402-01,15.5,,3,,,,,,,,,,15,10,,,4,46,25,,,,100,
Horton,1,open,3315,15,,,,1,JL,"JL, SK",B1685,2397,2397-01,13.5,,4.5,,,,,,,,,,8,30,,4,5,53,,,,,100,
Horton,1,open,3315,15,,,,1,JL,"JL, SK",B1685,2202,2202-01,18.5,,4.5,,,,,,,,,,8,10,,10,,72,,,,,100,
Horton,1,open,3315,15,,,,1,JL,"JL, SK",B1685,405,405-01,23,,4.5,,,,,,,,,,15,15,,20,,45,5,,,,100,
Horton,1,open,3317,17,,,,1,SK,"IM, SK",B1703,2354,2354-01,26,,3.5,,,,,,,,,,,,,15,,75,10,,,,100,
Horton,1,open,3317,17,,,,1,SK,"IM, SK",B1703,2203,2203-01,25,,3,,,,,,,,,,2,5,,8,,20,25,40,,,100,
Horton,1,open,3317,17,,,,1,SK,"IM, SK",B1703,2110,2110-01,26,,4,,,,,,,,,,8,,,20,,54,8,10,,,100,
Horton,1,open,3317,17,,,,1,SK,"IM, SK",B1703,2108,2108-01,24.5,,3.5,,,,,,,,,,1,,,8,,71,10,10,,,100,
Horton,1,open,3320,20,,,,0,JL,"KBK, CAE",A2290,2483,2483-01,30,,3,,,,,,,,,,14,28,,4,4,2,48,,,,100,
Horton,1,open,3320,20,,,,0,JL,"KBK, CAE",A2290,2486,2486-01,23,,3,,,,,,,,,,13,11,,15,3,14,44,,,,100,
Horton,1,open,3320,20,,,,0,JL,"KBK, CAE",A2290,2478,2478-01,19.5,,3,,,,,,,,,,6,44,,5,6,15,24,,,,100,
Horton,1,open,3320,20,,,,0,JL,"KBK, CAE",A2290,2449,2449-01,21,,3,,,,,,,,,,,38,,16,7,28,11,,,,100,
Horton,1,open,3321,21,,,,1,JL,"KBK, CAE",A2282,2112,2112-01,17,,3,,,,,,,,,,50,1,,,,38,11,,,,100,
Horton,1,open,3321,21,,,,1,JL,"KBK, CAE",A2282,2119,2119-01,23.5,,4,,,,,,,,,,12,24,16,1,,12,25,,,,90,
Horton,1,open,3321,21,,,,1,JL,"KBK, CAE",A2282,2120,2120-01,27,,4,,,,,,,,,,8,36,5,4,2,10,35,,,,100,
Horton,1,open,3321,21,,,,1,JL,"KBK, CAE",A2282,2107,2107-01,20,,3,,,,,,,,,,16,15,42,14,3,10,,,,,100,
Horton,1,open,3322,22,,,,0,SK,"IM, SK",B1712,2334,2334-01,17.5,,4,,,,,,,,,,15,8,,,2,60,5,10,,,100,
Horton,1,open,3322,22,,,,0,SK,"IM, SK",B1712,2342,2342-01,14.5,,2.5,,,,,,,,,,8,2,,,,75,,15,,,100,
Horton,1,open,3322,22,,,,0,SK,"IM, SK",B1712,2329,2329-01,15.5,,3,,,,,,,,,,,10,,5,10,75,,,,,100,
Horton,1,open,3322,22,,,,0,SK,"IM, SK",B1712,2300,2300-01,18.5,,3,,,,,,,,,,2,8,,8,,52,10,10,,,90,
Horton,1,open,3323,23,,,,0,JL,"KBK, CAE",A2302,2282,2282-01,27,,3,,,,,,,,,,6,30,,15,4,40,5,,,,100,
Horton,1,open,3323,23,,,,0,JL,"KBK, CAE",A2302,2285,2285-01,19,,2,,,,,,,,,,5,30,,4,2,49,10,,,,100,
Horton,1,open,3323,23,,,,0,JL,"KBK, CAE",A2302,2490,2490-01,28,,4,,,,,,,,,,20,30,,10,8,22,10,,,,100,
Horton,1,open,3323,23,,,,0,JL,"KBK, CAE",A2302,2492,2492-01,22,,4,,,,,,,,,,5,31,,4,3,47,10,,,,100,
Horton,1,open,3324,24,,,,1,IM,"KBK, CAE",A2301,2489,2489-01,23,,2,,,,,,,,,,25,30,,4,8,18,15,,,,100,
Horton,1,open,3324,24,,,,1,IM,"KBK, CAE",A2301,2290,2290-01,24,,2,,,,,,,,,,60,24,,2,1,10,3,,,,100,
Horton,1,open,3324,24,,,,1,IM,"KBK, CAE",A2301,2496,2496-01,23,,3,,,,,,,,,,50,22,,4,3,20,1,,,,100,
Horton,1,open,3324,24,,,,1,IM,"KBK, CAE",A2301,2291,2291-01,25,,3,,,,,,,,,,59,15,,2,2,20,2,,,,100,
