Site_Info,,Structure_Info,,,,,,,,,Seedling_Info,,,,,,Competition,,,Cover,,,,,,,,,,,
SITE_NAME,SITE_NO,STRUCTURE_TYPE,STRUCTURE_NO,STRUCTURE_SP,DBH,DECAY_CLASS,VEXAR,PLANTER_NAME,RECORDER_NAME,PHOTO_NO,TAG_ID,HEIGHT,RCD,AZIMUTH,DIST,LOG_HT,SPECIES,DIST,HEIGHT,GRASS,FORB,SHRUB,ROCK,CWD,LITTER,BARE_SOIL,MOSS,SNAG/ROOT,OTHER,TOTAL,NOTES
Horton,1,3,25,,,,0,JL,"KBK, CAE",A2304,2499,14,3,,,,,,,,29,,12,4,40,15,,,,100,
Horton,1,3,25,,,,0,JL,"KBK, CAE",A2304,2286,21,3,,,,,,,6,10,,11,3,58,12,,,,100,
Horton,1,3,26,,,,1,SK,"IM, SK",B1701,2325,18,3,,,,,,,,,,15,10,40,30,5,,,100,
Horton,1,3,26,,,,1,SK,"IM, SK",B1701,2326,14.5,3,,,,,,,,5,,15,,50,20,10,,,100,
Horton,1,3,26,,,,1,SK,"IM, SK",B1701,2305,14.5,3,,,,,,,30,2,,15,,33,20,,,,100,
Horton,1,3,26,,,,1,SK,"IM, SK",B1701,2353,16,3.5,,,,,,,8,,,20,,15,10,47,,,100,
Horton,1,3,27,,,,0,IM,"KBK, CAE",A2299,2273,23,4,,,,,,,7,17,,6,2,53,15,,,,100,
Horton,1,3,27,,,,0,IM,"KBK, CAE",A2299,2454,25,4,,,,,,,,4,,10,3,78,5,,,,100,
Horton,1,3,27,,,,0,IM,"KBK, CAE",A2299,2271,33,4,,,,,,,,25,,8,7,50,10,,,,100,
Horton,1,3,27,,,,0,IM,"KBK, CAE",A2299,2466,26,4,,,,,,,4,25,1,7,6,53,4,,,,100,
Horton,1,3,29,,,,0,JL,"KBK, CAE",A2300,2465,25,4,,,,,,,10,24,3,6,,54,3,,,,100,
Horton,1,3,29,,,,0,JL,"KBK, CAE",A2300,2267,23,5,,,,,,,1,30,10,2,3,44,10,,,,100,
