tag_id,measurement_type,date,height,rcd,site_name,structure_no,structure_type,recorder,status,herbivory
2312,,,26,4,Horton ,24,1,"JL, CAE",,
2310,,,33,5,Horton ,24,1,"JL, CAE",,
2315,,,26,4,Horton ,24,1,"JL, CAE",,
2318,,,33,5,Horton ,24,1,"JL, CAE",,
2311,,,27,4,Horton ,25,1,"JL, CAE",,
2420,,,14,3,Horton ,25,1,"JL, CAE",,
2412,,,23,4,Horton ,25,1,"JL, CAE",,
2419,,,24,4,Horton ,25,1,"JL, CAE",,
2306,,,28,4,Horton ,26,1,"IM, SK",,
2359,,,23,4.5,Horton ,26,1,"IM, SK",,
2374,,,23,3,Horton ,26,1,"IM, SK",,
2341,,,22.5,3,Horton ,26,1,"IM, SK",,
2239,,,28.5,4.5,Horton ,28,1,"IM, SK",,
2223,,,32,4.5,Horton ,28,1,"IM, SK",,
2220,,,19,4.5,Horton ,28,1,"IM, SK",,
2217,,,23,3.5,Horton ,28,1,"IM, SK",,
2338,,,27.5,4,Horton ,29,1,"IM, SK",,
2236,,,31.5,4,Horton ,29,1,"IM, SK",,
2255,,,21,4.5,Horton ,29,1,"IM, SK",,
2469,,,33,5,Horton ,30,1,"KBK, CAE",,
2268,,,30,4,Horton ,30,1,"KBK, CAE",,
2270,,,18,4,Horton ,30,1,"KBK, CAE",,
2479,,,33,3,Horton ,30,1,"KBK, CAE",,
2231,,,26.5,4.5,Horton ,30,2,"IM, SK",,
2227,,,16.5,4.5,Horton ,30,2,"IM, SK",,
2241,,,25,3.5,Horton ,30,2,"IM, SK",,
2238,,,23,4,Horton ,30,2,"IM, SK",,
2172,,,23.5,5,Horton ,1,2,"KBK, CAE",,
2177,,,34,4,Horton ,1,2,"KBK, CAE",,
2275,,,29,6,Horton ,1,2,"KBK, CAE",,
2200,,,17,3,Horton ,1,2,"KBK, CAE",,
2154,,,21.5,4.5,Horton ,2,2,"JL, SK",,
2142,,,22.5,4.5,Horton ,2,2,"JL, SK",,
2164,,,32.5,4,Horton ,2,2,"JL, SK",,
2148,,,25,4,Horton ,2,2,"JL, SK",,
2179,,,17,3,Horton ,3,2,"KBK, CAE",,
2171,,,17,3,Horton ,3,2,"KBK, CAE",,
2178,,,23,4,Horton ,3,2,"KBK, CAE",,
2190,,,23,4,Horton ,3,2,"KBK, CAE",,
2283,,,14,3,Horton ,4,2,"KBK, CAE",,
2451,,,14,5,Horton ,4,2,"KBK, CAE",,
2484,,,27,4,Horton ,4,2,"KBK, CAE",,
2450,,,24,3,Horton ,4,2,"KBK, CAE",,
2146,,,18.5,4,Horton ,5,2,"JL, SK",,
2141,,,24,4.5,Horton ,5,2,"JL, SK",,
2145,,,21,4,Horton ,5,2,"JL, SK",,
2150,,,22,4.5,Horton ,5,2,"JL, SK",,
2287,,,25,4,Horton ,6,2,"JL, CAE",,
2289,,,38,4,Horton ,6,2,"JL, CAE",,
2500,,,22,4,Horton ,6,2,"JL, CAE",,
